"","Vertex1","Vertex2"
"2025","bob welch","level 42"
"2026","christopher cross","the hooters"
"2027","england dan & john ford coley","don henley"
"2028","melissa manchester","chris de burgh"
"2029","seals and crofts","cock robin"
"2030","captain & tennille","go west"
"2031","gary wright","starship"
"2032","dan fogelberg","fine young cannibals"
"2033","robert john","bruce hornsby"
"2034","glenn frey","christine mcvie"
"2035","steve winwood","pete townshend"
"2036","eddie money","warren zevon"
"2037","jefferson starship","don henley"
"2038","john mellencamp","jackson browne"
"2039","rick springfield","bob welch"
"2040","little river band","al stewart"
"2041","38 special","jefferson starship"
"2042","reo speedwagon","traveling wilburys"
"2043","mr. mister","julian lennon"
"2044","loverboy","todd rundgren"
"2045","steve perry","joe walsh"
"2046","firefall","robert plant"
"2047","mike + the mechanics","pretenders"
"2048","the doobie brothers","mudcrutch"
"2049","huey lewis & the news","quarterflash"
"2050","jefferson starship","glass tiger"
"2051","mr. mister","eddie money"
"2052","boz scaggs","reo speedwagon"
"2053","the j. geils band","night ranger"
"2054","jackson browne","jefferson starship"
"2055","38 special","starship"
"2056","wang chung","the babys"
"2057","atlanta rhythm section","john parr"
"2058","shawn mullins","head east"
"2059","bruce hornsby","gary wright"
"2060","jackson browne","firefall"
"2061","joan osborne","atlanta rhythm section"
"2062","melissa etheridge","the babys"
"2063","joshua kadison","the j. geils band"
"2064","shawn colvin","pablo cruise"
"2065","natalie merchant","joe walsh"
"2066","sheryl crow","eddie money"
"2067","jennifer warnes","loverboy"
"2068","carole king","poco"
"2069","tracy chapman","orleans"
"2070","bruce springsteen","three dog night"
"2071","billy joel","paul davis"
"2072","carly simon","bachman-turner overdrive"
"2073","mr. mister","billy squier"
"2074","cutting crew","38 special"
"2075","steve perry","the j. geils band"
"2076","paul davis","reo speedwagon"
"2077","eric carmen","don henley"
"2078","peter cetera","boston"
"2079","paul carrack","bachman-turner overdrive"
"2080","quarterflash","styx"
"2081","daryl hall","heart"
"2082","starship","sammy hagar"
"2083","christopher cross","pat benatar"
"2084","sheena easton","night ranger"
"2085","cutting crew","ambrosia"
"2086","john parr","seals and crofts"
"2087","wang chung","firefall"
"2088","john waite","dave mason"
"2089","go west","stephen bishop"
"2090","johnny hates jazz","orleans"
"2091","rick springfield","gino vannelli"
"2092","glass tiger","jefferson starship"
"2093","richard marx","dan fogelberg"
"2094","steve perry","paul davis"
"2095","paul young","nicolette larson"
"2096","huey lewis & the news","michael mcdonald"
"2097","kim carnes","donald fagen"
"2098","cutting crew","jonathan edwards"
"2099","paul carrack","dan fogelberg"
"2100","paul young","seals and crofts"
"2101","richard marx","poco"
"2102","nik kershaw","the ozark mountain daredevils"
"2103","the hooters","harry chapin"
"2104","glenn frey","jesse colin young"
"2105","chris de burgh","atlanta rhythm section"
"2106","cock robin","little river band"
"2107","fine young cannibals","bob welch"
"2108","bruce hornsby","ambrosia"
"2109","glass tiger","crosby, stills & nash"
"2110","crosby, stills & nash","jd souther"
"2111","warren zevon","dave mason"
"2112","dan fogelberg","jesse colin young"
"2113","jim croce","atlanta rhythm section"
"2114","gordon lightfoot","jonathan edwards"
"2115","pure prairie league","stephen stills"
"2116","seals and crofts","chris hillman"
"2117","firefall","new riders of the purple sage"
"2118","dave mason","jefferson starship"
"2119","boz scaggs","dan fogelberg"
"2120","van morrison","pablo cruise"
"2121","little river band","crosby, stills & nash"
"2122","stephen stills","little river band"
"2123","christine mcvie","rick springfield"
"2124","pete townshend","don henley"
"2125","warren zevon","eddie money"
"2126","jackson browne","glenn frey"
"2127","steve winwood","pat benatar"
"2128","al stewart","daryl hall & john oates"
"2129","traveling wilburys","the romantics"
"2130","jeff lynne","38 special"
"2131","julian lennon","kenny loggins"
"2132","boz scaggs","corey hart"
"2133","todd rundgren","robert palmer"
"2134","joe walsh","steve winwood"
"2135","robert plant","the cars"
"2136","pretenders","the j. geils band"
"2137","mudcrutch","billy squier"
"2138","lou gramm","fine young cannibals"
"2139","john waite","level 42"
"2140","rick springfield","the power station"
"2141","quarterflash","mike + the mechanics"
"2142","glass tiger","wang chung"
"2143","glenn frey","steve winwood"
"2144","eddie money","huey lewis & the news"
"2145","cutting crew","glenn frey"
"2146","reo speedwagon","howard jones"
"2147","night ranger","abc"
"2148","jefferson starship","joe jackson"
"2149","starship","nik kershaw"
"2150","the babys","bryan ferry"
"2151","john parr","thompson twins"
"2152","head east","corey hart"
"2153","gary wright","john parr"
"2154","little river band","cutting crew"
"2155","ambrosia","loverboy"
"2156","the babys","rick springfield"
"2157","the j. geils band","steve perry"
"2158","bob welch","john waite"
"2159","joe walsh","quarterflash"
"2160","eddie money","red rider"
"2161","loverboy","platinum blonde"
"2162","pure prairie league","gowan"
"2163","three dog night","benjamin orr"
"2164","bachman-turner overdrive","tom cochrane"
"2165","billy squier","orleans"
"2166","the j. geils band","gary wright"
"2167","jefferson starship","pure prairie league"
"2168","huey lewis & the news","poco"
"2169","joe walsh","paul davis"
"2170","boston","jefferson starship"
"2171","bachman-turner overdrive","the ozark mountain daredevils"
"2172","styx","loggins & messina"
"2173","sammy hagar","nicolette larson"
"2174","the babys","player"
"2175","head east","atlanta rhythm section"
"2176","pat benatar","stephen bishop"
"2177","night ranger","england dan & john ford coley"
"2178","john mellencamp","dave mason"
"2179","pablo cruise","firefall"
"2180","stephen bishop","england dan & john ford coley"
"2181","orleans","little river band"
"2182","atlanta rhythm section","art garfunkel"
"2183","gino vannelli","poco"
"2184","jefferson starship","david gates"
"2185","dan fogelberg","ambrosia"
"2186","paul davis","harry chapin"
"2187","poco","jd souther"
"2188","pure prairie league","bread"
"2189","nicolette larson","pure prairie league"
"2190","michael mcdonald","rita coolidge"
"2191","donald fagen","captain & tennille"
"2192","bob welch","melissa manchester"
"2193","jonathan edwards","robbie dupree"
"2194","dan fogelberg","player"
"2195","seals and crofts","pablo cruise"
"2196","poco","stephen bishop"
"2197","dave mason","nicolette larson"
"2198","the ozark mountain daredevils","bertie higgins"
"2199","pablo cruise","bob welch"
"2200","harry chapin","christopher cross"
"2201","jesse colin young","little river band"
"2202","orleans","england dan & john ford coley"
"2203","atlanta rhythm section","melissa manchester"
"2204","jefferson starship","captain & tennille"
"2205","boz scaggs","gary wright"
"2206","ambrosia","robert john"
"2207","crosby, stills & nash","david gates"
"2208","pure prairie league","glenn frey"
"2209","the ozark mountain daredevils","bruce hornsby"
"2210","loggins & messina","huey lewis & the news"
"2211","jesse colin young","john mellencamp"
"2212","atlanta rhythm section","jackson browne"
"2213","jonathan edwards","rick springfield"
"2214","chris hillman","38 special"
"2215","new riders of the purple sage","reo speedwagon"
"2216","jefferson starship","the j. geils band"
"2217","pablo cruise","loverboy"
"2218","orleans","steve perry"
"2219","bob welch","firefall"
"2220","crosby, stills & nash","mike + the mechanics"
"2221","little river band","the doobie brothers"
"2222","loverboy","robert palmer"
"2223","reo speedwagon","mike + the mechanics"
"2224","pat benatar","eddie money"
"2225","daryl hall & john oates","mr. mister"
"2226","steve perry","ambrosia"
"2227","the romantics","boz scaggs"
"2228","kenny loggins","rick springfield"
"2229","corey hart","jackson browne"
"2230","robert palmer","38 special"
"2231","steve winwood","glass tiger"
"2232","the cars","wang chung"
"2233","billy squier","christopher cross"
"2234","fine young cannibals","shawn mullins"
"2235","the power station","jackson browne"
"2236","mike + the mechanics","joan osborne"
"2237","wang chung","melissa etheridge"
"2238","steve winwood","joshua kadison"
"2239","johnny hates jazz","bonnie raitt"
"2240","huey lewis & the news","shawn colvin"
"2241","glenn frey","natalie merchant"
"2242","howard jones","sheryl crow"
"2243","abc","jennifer warnes"
"2244","the romantics","amanda marshall"
"2245","joe jackson","carole king"
"2246","nik kershaw","tracy chapman"
"2247","don henley","van morrison"
"2248","bryan ferry","bruce springsteen"
"2249","thompson twins","billy joel"
"2250","rick springfield","carly simon"
"2251","john parr","mr. mister"
"2252","lou gramm","cutting crew"
"2253","loverboy","paul davis"
"2254","rick springfield","eric carmen"
"2255","john waite","corey hart"
"2256","honeymoon suite","glass tiger"
"2257","quarterflash","peter cetera"
"2258","red rider","paul carrack"
"2259","platinum blonde","quarterflash"
"2260","starship","daryl hall"
"2261","glenn frey","starship"
"2262","wang chung","john waite"
"2263","gowan","lou gramm"
"2264","benjamin orr","christopher cross"
"2265","huey lewis & the news","sheena easton"
"2266","tom cochrane","ambrosia"
"2267","pablo cruise","cutting crew"
"2268","orleans","corey hart"
"2269","seals and crofts","john parr"
"2270","bob welch","mike + the mechanics"
"2271","little river band","wang chung"
"2272","ambrosia","john waite"
"2273","pure prairie league","go west"
"2274","poco","johnny hates jazz"
"2275","paul davis","glenn frey"
"2276","jefferson starship","rick springfield"
"2277","the ozark mountain daredevils","glass tiger"
"2278","loggins & messina","richard marx"
"2279","dan fogelberg","steve perry"
"2280","nicolette larson","the power station"
"2281","player","lou gramm"
"2282","atlanta rhythm section","paul young"
"2283","england dan & john ford coley","kim carnes"
"2284","dave mason","nik kershaw"
"2285","seals and crofts","mr. mister"
"2286","firefall","cutting crew"
"2287","loggins & messina","paul carrack"
"2288","stephen bishop","paul young"
"2289","paul davis","richard marx"
"2290","art garfunkel","level 42"
"2291","poco","the hooters"
"2292","david gates","glenn frey"
"2293","harry chapin","chris de burgh"
"2294","jd souther","cock robin"
"2295","bread","go west"
"2296","pure prairie league","starship"
"2297","rita coolidge","fine young cannibals"
"2298","captain & tennille","bruce hornsby"
"2299","melissa manchester","glass tiger"
"2300","ambrosia","james taylor"
"2301","robbie dupree","crosby, stills & nash"
"2302","player","poco"
"2303","pablo cruise","loggins & messina"
"2304","firefall","warren zevon"
"2305","nicolette larson","dan fogelberg"
"2306","orleans","jim croce"
"2307","bertie higgins","gordon lightfoot"
"2308","bob welch","pure prairie league"
"2309","christopher cross","seals and crofts"
"2310","england dan & john ford coley","dave mason"
"2311","melissa manchester","boz scaggs"
"2312","seals and crofts","bruce hornsby"
"2313","captain & tennille","van morrison"
"2314","gary wright","steve winwood"
"2315","robert john","little river band"
"2316","david gates","stephen stills"
"2317","glenn frey","lou gramm"
"2318","steve winwood","john waite"
"2319","eddie money","rick springfield"
"2320","jefferson starship","mr. mister"
"2321","john mellencamp","glass tiger"
"2322","little river band","eddie money"
"2323","38 special","cutting crew"
"2324","mr. mister","38 special"
"2325","joe walsh","jefferson starship"
"2326","loverboy","starship"
"2327","steve perry","don henley"
"2328","firefall","the babys"
"2329","mike + the mechanics","john parr"
"2330","the doobie brothers","huey lewis & the news"
"2331","robert palmer","little river band"
"2332","mike + the mechanics","ambrosia"
"2333","eddie money","the j. geils band"
"2334","mr. mister","pablo cruise"
"2335","ambrosia","joe walsh"
"2336","boz scaggs","eddie money"
"2337","38 special","orleans"
"2338","wang chung","three dog night"
"2339","christopher cross","bachman-turner overdrive"
"2340","shawn mullins","loverboy"
"2341","bruce hornsby","billy squier"
"2342","jackson browne","38 special"
"2343","don henley","the j. geils band"
"2344","james taylor","reo speedwagon"
"2345","melissa etheridge","don henley"
"2346","joshua kadison","jefferson starship"
"2347","bonnie raitt","huey lewis & the news"
"2348","shawn colvin","joe walsh"
"2349","natalie merchant","boston"
"2350","sheryl crow","bachman-turner overdrive"
"2351","jennifer warnes","styx"
"2352","amanda marshall","heart"
"2353","carole king","sammy hagar"
"2354","tracy chapman","the babys"
"2355","van morrison","head east"
"2356","bruce springsteen","pat benatar"
"2357","billy joel","night ranger"
"2358","carly simon","john mellencamp"
"2359","cutting crew","seals and crofts"
"2360","paul davis","firefall"
"2361","eric carmen","dave mason"
"2362","glass tiger","atlanta rhythm section"
"2363","peter cetera","gino vannelli"
"2364","paul carrack","jefferson starship"
